category,tone_no,tone_name
Ac.Piano,01,St.Piano 1
Ac.Piano,02,St.Piano 2
Ac.Piano,03,St.Piano 3
Ac.Piano,04,St.Piano 4
Ac.Piano,05,St.Piano 5
Ac.Piano,06,Brite Piano
Ac.Piano,07,Stage Piano
Ac.Piano,08,Honky Tonk
Ac.Piano,09,LoFi Piano
Ac.Piano,10,Piano 1
Ac.Piano,11,Piano 1 w
Ac.Piano,12,European Pf
Ac.Piano,13,Piano 2
Ac.Piano,14,Piano 2 w
Ac.Piano,15,Honky-tonk
Ac.Piano,16,Honky-tonk w
Pop Piano,17,Pop Piano 1
Pop Piano,18,Pop Piano 2
Pop Piano,19,Pop Piano 3
E.Grand Piano,20,Piano 3
E.Grand Piano,21,Piano 3 w
E.Piano1,22,Stage EP 1
E.Piano1,23,Stage EP 2
E.Piano1,24,Stage EP Trm
E.Piano1,25,Tremolo EP 1
E.Piano1,26,E.Piano 1
E.Piano1,27,E.Piano 2
E.Piano1,28,E.Piano 3
E.Piano1,29,E.Piano 4
E.Piano1,30,E.Piano 5
E.Piano1,31,E.Piano 6
E.Piano1,32,Dyno EP
E.Piano1,33,Dyno EP Trm
E.Piano1,34,Tremolo EP 2
E.Piano1,35,Back2the60s
E.Piano1,36,Tine EP
E.Piano1,37,SA EP 1
E.Piano1,38,SA EP 2
E.Piano1,39,Psy EP
E.Piano1,40,Wurly EP
E.Piano1,41,Wurly EP Trm
E.Piano1,42,Curly Wurly
E.Piano1,43,Super Wurly
E.Piano1,44,E.Piano 7
E.Piano1,45,St.Soft EP
E.Piano1,46,Wurly
E.Piano2,47,EP Legend 1
E.Piano2,48,EP Belle
E.Piano2,49,80's EP
E.Piano2,50,FM EP 1
E.Piano2,51,FM EP 2
E.Piano2,52,Sinus EP
E.Piano2,53,Spirit Tines
E.Piano2,54,EP Legend 2
E.Piano2,55,E.Piano 8
E.Piano2,56,Detuned EP
E.Piano2,57,St.FM EP
E.Piano2,58,EP Legend 3
E.Piano2,59,EP Phase
E.Organ,60,Rock Organ 1
E.Organ,61,Rock Organ 2
E.Organ,62,Rock Organ 3
E.Organ,63,Rock Organ 4
E.Organ,64,Rock Organ 5
E.Organ,65,RotaryOrgan1
E.Organ,66,RotaryOrgan2
E.Organ,67,Perc.Organ 1
E.Organ,68,Perc.Organ 2
E.Organ,69,Perc.Organ 3
E.Organ,70,E.Organ 1
E.Organ,71,E.Organ 2
E.Organ,72,E.Organ 3
E.Organ,73,E.Organ 4
E.Organ,74,E.Organ 5
E.Organ,75,E.Organ 6
E.Organ,76,E.Organ 7
E.Organ,77,70's E.Org 1
E.Organ,78,70's E.Org 2
E.Organ,79,Ana Organ 1
E.Organ,80,Ana Organ 2
E.Organ,81,Ana Organ 3
E.Organ,82,Ana Organ 4
E.Organ,83,Ana Organ 5
E.Organ,84,Organ 1
E.Organ,85,Trem. Organ
E.Organ,86,60's Organ
E.Organ,87,70's E.Organ
E.Organ,88,Organ 2
E.Organ,89,Chorus Organ
E.Organ,90,Perc.Organ 4
E.Organ,91,Organ 3
Pipe Organ,92,Grand Pipes
Pipe Organ,93,Church Org 1
Pipe Organ,94,Church Org 2
Pipe Organ,95,Church Org 3
Pipe Organ,96,Puff Organ
Reed Organ,97,Reed Organ
Harpsichord,98,Harpsichord1
Harpsichord,99,Harpsichord2
Harpsichord,100,Coupled Hps
Harpsichord,101,Harpsi w
Harpsichord,102,Harpsi o
Clav,103,Clav 1
Clav,104,Pulse Clav 1
Clav,105,Sweepin Clav
Clav,106,Analog Clav
Clav,107,Biting Clav
Clav,108,Pulse Clv St
Clav,109,Clav 2
Clav,110,Pulse Clav 2
Celesta,111,Celesta
Accordion,112,AccordionIt2
Accordion,113,Musette
Accordion,114,Vodkakordion
Accordion,115,Accordion Fr
Accordion,116,Accordion It
Accordion,117,Bandoneon
Harmonica,118,Harmonica 1
Harmonica,119,Harmonica 2
Bell,120,FM Sparkles
Bell,121,FM Syn Bell
Bell,122,FM Heaven
Bell,123,Dreaming Bel
Bell,124,Analog Bell
Bell,125,Music Box 1
Bell,126,Music Bells
Bell,127,Kalimbells
Bell,128,Bell 1
Bell,129,Bell 2
Bell,130,Icy Keys
Bell,131,Carillon 1
Bell,132,Tower Bell
Bell,133,TubularBell2
Bell,134,Bell Ring
Bell,135,Music Box 2
Bell,136,TubularBells
Bell,137,Church Bell
Bell,138,Carillon 2
Bell,139,Crystal
Bell,140,Tinkle Bell
Mallet,141,Toy Box
Mallet,142,Vibraphone 1
Mallet,143,VibraphoneTr
Mallet,144,Tremolo Vib
Mallet,145,Marimba 1
Mallet,146,Marimba 2
Mallet,147,SteelDrums 1
Mallet,148,Xylophone 1
Mallet,149,Xylophone 2
Mallet,150,Ethno Keys
Mallet,151,Soft StlDrm
Mallet,152,Jazz Vib
Mallet,153,BsMarimba 1
Mallet,154,BsMarimba 2
Mallet,155,Sine Mallet
Mallet,156,Glockenspiel
Mallet,157,Vibraphone 2
Mallet,158,Vibraphone w
Mallet,159,Marimba 2
Mallet,160,Marimba w
Mallet,161,Xylophone 3
Mallet,162,SteelDrums 2
Ac.Guitar,163,Nylon Gtr 1
Ac.Guitar,164,Nylon Gtr 2
Ac.Guitar,165,Nylon Gtr 3
Ac.Guitar,166,Nylon Gtr 4
Ac.Guitar,167,Wet Nyln Gtr
Ac.Guitar,168,Ukulele 1
Ac.Guitar,169,Folk Gtr 1
Ac.Guitar,170,Folk Gtr 2
Ac.Guitar,171,Folk Gtr 3
Ac.Guitar,172,Latin Gtr
Ac.Guitar,173,Nylon Gtr 5
Ac.Guitar,174,Ukulele 2
Ac.Guitar,175,Nylon Gtr 5o
Ac.Guitar,176,Nylon Gtr 6
Ac.Guitar,177,Steel-str.Gt
Ac.Guitar,178,12-str. Gtr
Ac.Guitar,179,Steel + Body
Ac.Guitar,180,Gt FretNoise
E.Guitar,181,Clean Gtr 1
E.Guitar,182,Clean Gtr 2
E.Guitar,183,Clean Gtr 3
E.Guitar,184,JazzGuitar 1
E.Guitar,185,Pick E.Gtr
E.Guitar,186,FunkGuitar 1
E.Guitar,187,Wet E.Gtr
E.Guitar,188,PedalSteel 1
E.Guitar,189,JazzGuitar 2
E.Guitar,190,PedalSteel 2
E.Guitar,191,Clean Guitar
E.Guitar,192,Chorus Gtr
E.Guitar,193,Mid Tone Gtr
E.Guitar,194,Muted Guitar
E.Guitar,195,Funk Pop
E.Guitar,196,FunkGuitar 2
E.Guitar,197,Jazz Man
E.Guitar,198,Gt Cut Noise
Dist.Guitar,199,OverdriveGt1
Dist.Guitar,200,Dist Gtr 1
Dist.Guitar,201,Dist Gtr 2
Dist.Guitar,202,Dist Gtr 3
Dist.Guitar,203,OverdriveGt2
Dist.Guitar,204,Guitar Pinch
Dist.Guitar,205,DistortionGt
Dist.Guitar,206,Gt Feedback1
Dist.Guitar,207,Dist Rtm Gtr
Dist.Guitar,208,Gt Harmonics
Dist.Guitar,209,Gt Feedback2
Ac.Bass,210,AcousticBs 1
Ac.Bass,211,AcousticBs 2
Ac.Bass,212,AcousticBs 3
Ac.Bass,213,String Slap
E.Bass,214,FingeredBs 1
E.Bass,215,FingeredBs 2
E.Bass,216,FingeredBs 3
E.Bass,217,Pick Bass
E.Bass,218,FretlessBs 1
E.Bass,219,FretlessBs 2
E.Bass,220,Finger Slap2
E.Bass,221,Return2Base!
E.Bass,222,FingeredBs 4
E.Bass,223,Finger Slap
E.Bass,224,Picked Bass
